"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2535"," ""volt"": 22972"," ""valve"": 931"," ""hpa1"": 1005"," ""hpa2"": 5831"," ""hpa3"": 5832"," ""temp"": 35"," ""cnt"": 25497"," ""ms"": 720"," ""rtc"": ""20240809095141"""," ""ostime"": ""20240913110529""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2530"," ""volt"": 22954"," ""valve"": 930"," ""hpa1"": 1005"," ""hpa2"": 5833"," ""hpa3"": 5833"," ""temp"": 35"," ""cnt"": 25597"," ""ms"": 720"," ""rtc"": ""20240809095142"""," ""ostime"": ""20240913110530""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2528"," ""volt"": 22945"," ""valve"": 930"," ""hpa1"": 1003"," ""hpa2"": 5834"," ""hpa3"": 5832"," ""temp"": 35"," ""cnt"": 25697"," ""ms"": 720"," ""rtc"": ""20240809095143"""," ""ostime"": ""20240913110531""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2527"," ""volt"": 22945"," ""valve"": 929"," ""hpa1"": 1004"," ""hpa2"": 5835"," ""hpa3"": 5834"," ""temp"": 35"," ""cnt"": 25797"," ""ms"": 720"," ""rtc"": ""20240809095144"""," ""ostime"": ""20240913110532""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2531"," ""volt"": 22963"," ""valve"": 930"," ""hpa1"": 1003"," ""hpa2"": 5836"," ""hpa3"": 5834"," ""temp"": 35"," ""cnt"": 25897"," ""ms"": 720"," ""rtc"": ""20240809095145"""," ""ostime"": ""20240913110533""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2529"," ""volt"": 22954"," ""valve"": 930"," ""hpa1"": 1004"," ""hpa2"": 5837"," ""hpa3"": 5835"," ""temp"": 35"," ""cnt"": 25997"," ""ms"": 720"," ""rtc"": ""20240809095146"""," ""ostime"": ""20240913110533""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2529"," ""volt"": 22963"," ""valve"": 931"," ""hpa1"": 1004"," ""hpa2"": 5836"," ""hpa3"": 5836"," ""temp"": 35"," ""cnt"": 26097"," ""ms"": 720"," ""rtc"": ""20240809095147"""," ""ostime"": ""20240913110534""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2528"," ""volt"": 22963"," ""valve"": 939"," ""hpa1"": 1004"," ""hpa2"": 5838"," ""hpa3"": 5837"," ""temp"": 35"," ""cnt"": 26197"," ""ms"": 720"," ""rtc"": ""20240809095148"""," ""ostime"": ""20240913110535""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2527"," ""volt"": 22963"," ""valve"": 935"," ""hpa1"": 1005"," ""hpa2"": 5838"," ""hpa3"": 5838"," ""temp"": 35"," ""cnt"": 26300"," ""ms"": 750"," ""rtc"": ""20240809095149"""," ""ostime"": ""20240913110538""}"
"{""name"": ""APOSA1"""," ""type"": ""info"""," ""current"": 2530"," ""volt"": 22963"," ""valve"": 930"," ""hpa1"": 1004"," ""hpa2"": 5840"," ""hpa3"": 5838"," ""temp"": 35"," ""cnt"": 26400"," ""ms"": 750"," ""rtc"": ""20240809095150"""," ""ostime"": ""20240913110538""}"
